,target
757,0
1077,0
1011,0
809,0
978,0
947,0
1035,0
254,0
153,1
269,0
532,0
507,0
245,0
868,0
1042,0
1114,0
426,0
385,0
921,0
876,0
1102,0
1109,0
358,0
339,0
655,0
555,0
460,0
771,0
792,0
475,0
583,0
706,0
1080,0
1056,0
612,0
307,0
477,0
905,0
340,0
626,0
812,0
563,0
120,1
126,1
230,0
443,0
191,0
954,0
298,0
380,0
199,0
1127,0
210,0
702,0
595,0
102,1
785,0
1091,0
554,0
451,0
235,0
754,0
614,0
848,0
324,0
1125,0
488,0
524,0
44,1
303,0
151,1
745,0
2,1
421,0
253,0
341,0
818,0
749,0
132,1
1130,0
220,0
759,0
1020,0
786,0
472,0
1030,0
212,0
374,0
462,0
285,0
801,0
874,0
463,0
148,1
796,0
959,0
763,0
461,0
603,0
1027,0
872,0
672,0
1089,0
1045,0
510,0
46,1
1054,0
349,0
679,0
86,1
480,0
224,0
931,0
1070,0
123,1
383,0
1083,0
428,0
410,0
607,0
715,0
105,1
189,0
969,0
675,0
169,0
284,0
657,0
215,0
464,0
277,0
601,0
889,0
3,1
124,1
1129,0
197,0
233,0
286,0
918,0
521,0
662,0
454,0
789,0
906,0
408,0
1,1
901,0
1151,0
693,0
290,0
1029,0
639,0
115,1
776,0
279,0
467,0
386,0
1142,0
423,0
547,0
871,0
411,0
81,1
243,0
425,0
1104,0
471,0
755,0
272,0
1002,0
528,0
917,0
1145,0
154,1
566,0
27,1
919,0
1115,0
994,0
664,0
670,0
538,0
522,0
1025,0
923,0
526,0
319,0
221,0
896,0
1061,0
658,0
21,1
628,0
866,0
1136,0
915,0
73,1
1015,0
108,1
1144,0
161,0
53,1
447,0
709,0
1050,0
1060,0
1066,0
1085,0
236,0
328,0
310,0
649,0
914,0
265,0
22,1
239,0
334,0
694,0
840,0
1033,0
492,0
989,0
74,1
237,0
605,0
502,0
545,0
41,1
1135,0
29,1
684,0
501,0
512,0
1094,0
7,1
640,0
1120,0
60,1
577,0
760,0
1062,0
6,1
70,1
846,0
457,0
825,0
525,0
769,0
907,0
751,0
114,1
834,0
590,0
1048,0
255,0
325,0
845,0
1148,0
96,1
275,0
9,1
870,0
388,0
691,0
231,0
855,0
66,1
1012,0
127,1
249,0
728,0
705,0
516,0
58,1
214,0
699,0
972,0
629,0
983,0
599,0
19,1
957,0
784,0
296,0
961,0
1088,0
429,0
879,0
15,1
185,0
968,0
409,0
541,0
344,0
850,0
630,0
520,0
262,0
139,1
1101,0
730,0
781,0
234,0
1138,0
312,0
441,0
660,0
489,0
292,0
257,0
913,0
1075,0
14,1
967,0
767,0
329,0
1063,0
733,0
109,1
821,0
261,0
194,0
764,0
190,0
487,0
748,0
392,0
634,0
517,0
712,0
656,0
247,0
1119,0
55,1
606,0
283,0
382,0
641,0
858,0
624,0
828,0
944,0
611,0
1121,0
666,0
422,0
163,0
926,0
484,0
892,0
229,0
217,0
695,0
570,0
308,0
24,1
802,0
1022,0
881,0
176,0
227,0
311,0
11,1
986,0
399,0
332,0
971,0
479,0
804,0
941,0
571,0
294,0
787,0
1067,0
56,1
5,1
1026,0
1043,0
1034,0
1037,0
455,0
610,0
200,0
875,0
597,0
65,1
49,1
416,0
777,0
731,0
560,0
1065,0
353,0
273,0
739,0
646,0
534,0
1131,0
602,0
103,1
674,0
251,0
346,0
420,0
137,1
159,1
112,1
1159,0
974,0
928,0
830,0
519,0
18,1
198,0
184,0
427,0
1126,0
144,1
564,0
895,0
977,0
1146,0
338,0
360,0
647,0
88,1
336,0
51,1
1044,0
922,0
729,0
442,0
878,0
1082,0
799,0
939,0
32,1
580,0
300,0
513,0
770,0
439,0
816,0
205,0
996,0
13,1
503,0
356,0
305,0
949,0
26,1
1149,0
565,0
676,0
405,0
414,0
584,0
228,0
118,1
600,0
686,0
623,0
31,1
962,0
703,0
372,0
415,0
756,0
76,1
841,0
1092,0
838,0
371,0
916,0
82,1
963,0
393,0
80,1
1112,0
791,0
713,0
993,0
497,0
985,0
1084,0
97,1
453,0
288,0
314,0
960,0
514,0
146,1
387,0
345,0
742,0
173,0
696,0
281,0
1095,0
446,0
313,0
140,1
330,0
836,0
33,1
682,0
57,1
831,0
608,0
318,0
581,0
779,0
920,0
106,1
1003,0
